external_id,league,home_team,away_team,match_date,home_score,away_score,home_shots_on_target,away_shots_on_target,home_possession,away_possession,home_corners,away_corners,home_yellow_cards,away_yellow_cards
1519857,Serie A,Genoa,Lecce,2025-08-23 00:00:00,0,0,2,0,59,41,3,7,2,3
1519857,Serie A,Genoa,Lecce,2025-08-23 00:00:00,0,0,2,0,59,41,3,7,2,3
1519861,Serie A,Sassuolo,Napoli,2025-08-23 00:00:00,0,2,2,4,38,62,1,2,1,1
1519859,Serie A,AC Milan,Cremonese,2025-08-23 00:00:00,1,2,6,3,64,36,9,2,1,4
1519860,Serie A,AS Roma,Bologna,2025-08-23 00:00:00,1,0,4,2,51,49,2,4,1,1
1519853,Serie A,Cagliari,Fiorentina,2025-08-24 00:00:00,1,1,6,1,45,55,3,2,4,2
1519852,Serie A,Como 1907,Lazio,2025-08-24 00:00:00,2,0,6,1,63,37,6,0,2,3
1519856,Serie A,Atalanta,Pisa,2025-08-24 00:00:00,1,1,6,2,66,34,10,4,2,0
1519858,Serie A,Juventus,Parma,2025-08-24 00:00:00,2,0,8,2,64,36,6,6,1,2
1519855,Serie A,Udinese,Hellas Verona,2025-08-25 00:00:00,1,1,4,3,63,37,5,1,3,2
1519854,Serie A,Inter,Torino,2025-08-25 00:00:00,5,0,9,4,60,40,6,5,,
1519843,Serie A,Cremonese,Sassuolo,2025-08-29 00:00:00,3,2,6,6,42,58,5,4,2,2
1519849,Serie A,Lecce,AC Milan,2025-08-29 00:00:00,0,2,2,6,45,55,4,5,1,0
1519844,Serie A,Bologna,Como 1907,2025-08-30 00:00:00,1,0,2,2,36,64,7,4,4,4
1519848,Serie A,Parma,Atalanta,2025-08-30 00:00:00,1,1,3,3,46,54,1,2,2,2
1519842,Serie A,Napoli,Cagliari,2025-08-30 00:00:00,1,0,6,1,67,33,13,0,2,1
1519850,Serie A,Pisa,AS Roma,2025-08-30 00:00:00,0,1,3,5,31,69,1,7,2,1
1519845,Serie A,Genoa,Juventus,2025-08-31 00:00:00,0,1,1,3,44,56,3,4,1,2
1519851,Serie A,Torino,Fiorentina,2025-08-31 00:00:00,0,0,4,4,45,55,7,3,2,2
1519847,Serie A,Inter,Udinese,2025-08-31 00:00:00,1,2,4,5,68,32,13,2,1,3
1519846,Serie A,Lazio,Hellas Verona,2025-08-31 00:00:00,4,0,6,4,70,30,8,1,,
1519880,Serie A,Cagliari,Parma,2025-09-13 00:00:00,2,0,5,5,51,49,4,5,3,1
1519882,Serie A,Juventus,Inter,2025-09-13 00:00:00,4,3,4,4,41,59,5,9,2,2
1519886,Serie A,Fiorentina,Napoli,2025-09-13 00:00:00,1,3,3,9,53,47,8,5,,
1519888,Serie A,AS Roma,Torino,2025-09-14 00:00:00,0,1,5,4,73,27,7,4,2,3
1519878,Serie A,Atalanta,Lecce,2025-09-14 00:00:00,4,1,8,3,57,44,8,2,,
1519885,Serie A,Pisa,Udinese,2025-09-14 00:00:00,0,1,2,3,51,49,8,6,1,2
1519887,Serie A,Sassuolo,Lazio,2025-09-14 00:00:00,1,0,3,3,41,59,3,7,6,3
1519892,Serie A,AC Milan,Bologna,2025-09-14 00:00:00,1,0,3,0,39,61,7,4,3,2
1519889,Serie A,Hellas Verona,Cremonese,2025-09-15 00:00:00,0,0,9,2,46,54,10,1,2,1
1519881,Serie A,Como 1907,Genoa,2025-09-15 00:00:00,1,1,4,6,53,47,0,8,2,2
1519901,Serie A,Lecce,Cagliari,2025-09-19 00:00:00,1,2,5,6,52,48,4,7,2,3
1519893,Serie A,Bologna,Genoa,2025-09-20 00:00:00,2,1,6,4,59,41,8,2,1,5
1519895,Serie A,Hellas Verona,Juventus,2025-09-20 00:00:00,1,1,4,4,28,72,5,3,3,3
1519891,Serie A,Udinese,AC Milan,2025-09-20 00:00:00,0,3,4,6,40,60,1,4,2,0
1519899,Serie A,Lazio,AS Roma,2025-09-21 00:00:00,0,1,2,6,49,51,3,6,1,1
1519897,Serie A,Cremonese,Parma,2025-09-21 00:00:00,0,0,1,3,52,48,3,3,1,0
1519890,Serie A,Torino,Atalanta,2025-09-21 00:00:00,0,3,5,5,39,61,1,0,,
1519896,Serie A,Fiorentina,Como 1907,2025-09-21 00:00:00,1,2,1,7,39,61,2,6,4,3
1519898,Serie A,Inter,Sassuolo,2025-09-21 00:00:00,2,1,6,5,61,39,7,3,2,1
1519900,Serie A,Napoli,Pisa,2025-09-22 00:00:00,3,2,6,6,64,37,5,3,1,2
1519865,Serie A,Como 1907,Cremonese,2025-09-27 00:00:00,1,1,6,2,58,42,4,3,3,4
1519866,Serie A,Juventus,Atalanta,2025-09-27 00:00:00,1,1,10,2,67,33,14,5,0,1
1519867,Serie A,Cagliari,Inter,2025-09-27 00:00:00,0,2,0,5,42,58,4,4,0,2
1519884,Serie A,Sassuolo,Udinese,2025-09-28 00:00:00,3,1,5,5,44,56,1,5,0,3
1519877,Serie A,AS Roma,Hellas Verona,2025-09-28 00:00:00,2,0,5,3,57,43,8,1,0,4
1519875,Serie A,Pisa,Fiorentina,2025-09-28 00:00:00,0,0,1,2,39,62,4,6,0,1
1519869,Serie A,Lecce,Bologna,2025-09-28 00:00:00,2,2,4,5,33,67,3,9,4,2
1519872,Serie A,AC Milan,Napoli,2025-09-28 00:00:00,2,1,3,7,37,64,1,7,1,0
1519874,Serie A,Parma,Torino,2025-09-29 00:00:00,2,1,2,4,37,63,4,3,3,3
1519864,Serie A,Genoa,Lazio,2025-09-29 00:00:00,0,3,5,6,65,35,6,0,5,1
1519879,Serie A,Hellas Verona,Sassuolo,2025-10-03 00:00:00,0,1,9,3,58,42,4,2,2,3
1519873,Serie A,Lazio,Torino,2025-10-04 00:00:00,3,3,4,8,49,51,3,5,3,3
1519883,Serie A,Parma,Lecce,2025-10-04 00:00:00,0,1,2,3,63,37,4,9,1,2
1519868,Serie A,Inter,Cremonese,2025-10-04 00:00:00,4,1,9,2,66,34,13,1,1,1
1519862,Serie A,Atalanta,Como 1907,2025-10-04 00:00:00,1,1,4,4,51,50,8,3,1,3
1519894,Serie A,Udinese,Cagliari,2025-10-05 00:00:00,1,1,4,2,60,40,7,2,1,2
1519863,Serie A,Bologna,Pisa,2025-10-05 00:00:00,4,0,7,0,71,29,2,2,0,1
1519871,Serie A,Fiorentina,AS Roma,2025-10-05 00:00:00,1,2,3,3,45,55,3,4,2,3
1519876,Serie A,Napoli,Genoa,2025-10-05 00:00:00,2,1,5,1,69,31,7,5,1,3
1519870,Serie A,Juventus,AC Milan,2025-10-05 00:00:00,0,0,3,4,51,49,6,0,2,2
1519926,Serie A,Lecce,Sassuolo,2025-10-18 00:00:00,0,0,2,2,52,49,6,4,2,2
1519927,Serie A,Pisa,Hellas Verona,2025-10-18 00:00:00,0,0,0,3,60,40,3,8,4,2
1519928,Serie A,Torino,Napoli,2025-10-18 00:00:00,1,0,2,5,31,69,3,11,1,2
1519930,Serie A,AS Roma,Inter,2025-10-18 00:00:00,0,1,5,3,57,43,4,5,4,3
1519913,Serie A,Como 1907,Juventus,2025-10-19 00:00:00,2,0,6,3,45,55,4,1,3,1
1519917,Serie A,Cagliari,Bologna,2025-10-19 00:00:00,0,2,3,7,42,58,2,7,1,3
1519918,Serie A,Genoa,Parma,2025-10-19 00:00:00,0,0,7,0,69,32,3,0,2,3
